what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1292800955064
arch,sysinfo,,,"x86",1292800955064
ws,sysinfo,,,"win32",1292800955064
locale,sysinfo,,,"pt_BR",1292800955064
processors,sysinfo,,,"2",1292800955064
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1292800955064
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1292800955064
java.specification.name,sysinfo,,,"Java Platform API Specification",1292800955064
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292800955064
java.specification.version,sysinfo,,,"1.6",1292800955064
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1292800955064
java.version,sysinfo,,,"1.6.0_23",1292800955064
java.vm.info,sysinfo,,,"mixed mode, sharing",1292800955064
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1292800955064
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1292800955064
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292800955064
java.vm.specification.version,sysinfo,,,"1.0",1292800955064
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1292800955064
java.vm.version,sysinfo,,,"19.0-b09",1292800955064
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1292800970704
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1292800974278
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1292800974310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801001125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801001294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801003952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801145848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801162113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801241179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292801272356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292803320128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292803322801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805570986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805586381
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805593566
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1292805627852
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1292805628111
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1292805628229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805628486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805630182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805630601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805633203
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1292805634397
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1292805634424
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292805639289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805655472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805658721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805660952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805662284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805662357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805664465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805665143
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805721389
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1292805721409
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292805723672
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1292805724578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805731578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805731772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805737540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805738571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805738637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805740115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805744877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805749716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805751791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805756585
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1292805757123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805782468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805783593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805802142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805802678
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1292805827592
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1292805829203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292805832938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805850167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805851777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805859013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805910336
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1292805913122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805913288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805915051
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1292805915059
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1292805918618
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1292805931902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805971788
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805991039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292805992874
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292806146266
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292806152800
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292806167955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292806189825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292806190887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292806636483
