what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1433977199007
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1433977199007
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1433977199008
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1433977199009
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1433977199027
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1433977199028
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1433977199030
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1433977199031
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1433977199038
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1433977199044
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1433977199054
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1433977199069
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1433977199084
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1433977199086
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1433977199101
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1433977199102
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1433977199102
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1433977199121
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1433977199134
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1433977199136
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1433977199138
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1433977199159
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1433977199160
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1433977199218
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1433977199241
os,sysinfo,,,"win32",1433977199246
arch,sysinfo,,,"x86",1433977199246
ws,sysinfo,,,"win32",1433977199246
locale,sysinfo,,,"pt_BR",1433977199246
processors,sysinfo,,,"2",1433977199246
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433977199246
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1433977199246
java.specification.name,sysinfo,,,"Java Platform API Specification",1433977199246
java.specification.vendor,sysinfo,,,"Oracle Corporation",1433977199246
java.specification.version,sysinfo,,,"1.8",1433977199246
java.vendor,sysinfo,,,"Oracle Corporation",1433977199246
java.version,sysinfo,,,"1.8.0_45",1433977199246
java.vm.info,sysinfo,,,"mixed mode",1433977199246
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1433977199246
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433977199246
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1433977199246
java.vm.specification.version,sysinfo,,,"1.8",1433977199246
java.vm.vendor,sysinfo,,,"Oracle Corporation",1433977199246
java.vm.version,sysinfo,,,"25.45-b02",1433977199246
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1433977200788
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1433977200802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977206300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977216170
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1433977228473
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1433977228843
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1433977228857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977229057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977232373
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1433977232507
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977234161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977237598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977237611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977238767
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1433977249578
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433977254695
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1433977270519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977292864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977307110
